Attribute Name,Data Type,Is archived?,Archiver config
State,DevState (Enum),Yes,Change Event
Status,DevString,No,
adminMode,AdminMode (DevEnum),No,
buildState,DevString,No,
commandedState,commandedState,No,
controlMode,ControlMode,No,
cspSubarrayDevName,DevString,No,
cspSubarrayObsState,ObsState (DevEnum),Yes,Change Event
delayModelStationBeam01,DevString,Yes,Change Event
delayModelStationBeam02,DevString,Yes,Change Event
delayModelStationBeam03,DevString,Yes,Change Event
delayModelStationBeam04,DevString,Yes,Change Event
delayModelStationBeam05,DevString,Yes,Change Event
delayModelStationBeam06,DevString,Yes,Change Event
delayModelStationBeam07,DevString,Yes,Change Event
delayModelStationBeam08,DevString,Yes,Change Event
delayModelPSTBeam1,DevString,Yes,Change Event
delayModelPSTBeam2,DevString,Yes,Change Event
delayModelPSSBeam1,DevString,Yes,Change Event
delayModelPSSBeam2,DevString,Yes,Change Event
delayModelPSSBeam3,DevString,Yes,Change Event
delayModelPSSBeam4,DevString,Yes,Change Event
delayModelPSSBeam5,DevString,Yes,Change Event
delayModelPSSBeam6,DevString,Yes,Change Event
delayModelPSSBeam7,DevString,Yes,Change Event
delayModelPSSBeam8,DevString,Yes,Change Event
delayModelPSSBeam9,DevString,Yes,Change Event
delayModelPSSBeam10,DevString,Yes,Change Event
delayModelPSSBeam11,DevString,Yes,Change Event
delayModelPSSBeam12,DevString,Yes,Change Event
delayModelPSSBeam13,DevString,Yes,Change Event
delayModelPSSBeam14,DevString,Yes,Change Event
delayModelPSSBeam15,DevString,Yes,Change Event
delayModelPSSBeam16,DevString,Yes,Change Event
delayModelPSSBeam17,DevString,Yes,Change Event
delayModelPSSBeam18,DevString,Yes,Change Event
delayModelPSSBeam19,DevString,Yes,Change Event
delayModelPSSBeam20,DevString,Yes,Change Event
delayModelPSSBeam21,DevString,Yes,Change Event
delayModelPSSBeam22,DevString,Yes,Change Event
delayModelPSSBeam23,DevString,Yes,Change Event
delayModelPSSBeam24,DevString,Yes,Change Event
delayModelPSSBeam25,DevString,Yes,Change Event
delayModelPSSBeam26,DevString,Yes,Change Event
delayModelPSSBeam27,DevString,Yes,Change Event
delayModelPSSBeam28,DevString,Yes,Change Event
delayModelPSSBeam29,DevString,Yes,Change Event
delayModelPSSBeam30,DevString,Yes,Change Event
isSubsystemAvailable,DevBoolean,Yes,Change Event
cspSubarrayAdminMode,AdminMode (DevEnum),No,
healthState,HealthState (DevEnum),Yes,Change Event
isAdminModeEnabled,DevBoolean,No,
lastDeviceInfoChanged,DevString,No,
loggingLevel,LoggingLevel (Enum),No,
simulationMode,SimulationMode (DevEnum),No,
testMode,TestMode (DevEnum),No,
versionId,DevString,No,
_lrcEvent,DevVarStringArray,No,
loggingTargets,DevVarStringArray,No,
longRunningCommandIDsInQueue,DevVarStringArray,No,
longRunningCommandInProgress,DevVarStringArray,No,
longRunningCommandProgress,DevVarStringArray,No,
longRunningCommandResult,DevVarStringArray,No,
longRunningCommandStatus,DevVarStringArray,No,
longRunningCommandsInQueue,DevVarStringArray,No,
lrcExecuting,DevVarStringArray,No,
lrcFinished,DevVarStringArray,No,
lrcProtocolVersions,LrcMixedIn,No,
lrcQueue,DevVarStringArray,No,
