Attribute Name,Data Type
State,DevState (Enum)
Status,The device is in ON state.
activationTime,0
adminMode,1
buildState,"ska-tmc-subarraynode,0.31.0,Subarray Node is a coordinator of the complete M&C system."
commandedObsState,0
commandedState,None
configurationDelayExpected,0
configurationProgress,0
controlMode,0
healthState,0
internalModel,{...}
isAdminModeEnabled,false
isSubarrayAvailable,false
lastDeviceInfoChanged,{...}
loggingLevel,5
obsMode,0
obsState,0
sbID,
scanDuration,0
scanID,
simulationMode,0
testMode,0
transformedInternalModel,{...}
versionId,0.31.0
_lrcEvent,
assignedResources,
configuredCapabilities,
loggingTargets,
longRunningCommandIDsInQueue,
longRunningCommandInProgress,
longRunningCommandProgress,
longRunningCommandResult,
longRunningCommandStatus,
longRunningCommandsInQueue,
lrcExecuting,
lrcFinished,
lrcProtocolVersions,
lrcQueue,
