Attribute Name,Data Type,Is archived?,Archiver config
State,DevState (Enum),Yes,Change Event
Status,DevString,No,
activationTime,,No,
adminMode,AdminMode (DevEnum),No,
buildState,DevString,No,
commandedObsState,,No,
commandedState,,No,
configurationDelayExpected,DevShort,No,
configurationProgress,,No,
controlMode,ControlMode,No,
healthState,HealthState (DevEnum),Yes,Change Event
internalModel,DevString,No,
isAdminModeEnabled,Boolean,No,
isSubarrayAvailable,Boolean,Yes,Change Event
lastDeviceInfoChanged,Boolean,No,
loggingLevel,,No,
obsMode,ObsMode (DevEnum),No,
obsState,ObsState (DevEnum),Yes,Change Event
sbID,DevString,No,
scanDuration,DevShort,No,
scanID,DevString,No,
simulationMode,SimulationMode (DevEnum),No,
testMode,TestMode (DevEnum),No,
transformedInternalModel,DevString,No,
versionId,DevString,No,
_lrcEvent,,No,
assignedResources,,No,
configuredCapabilities,,No,
loggingTargets,,No,
longRunningCommandIDsInQueue,,No,
longRunningCommandInProgress,,No,
longRunningCommandProgress,,No,
longRunningCommandResult,,No,
longRunningCommandStatus,,No,
longRunningCommandsInQueue,,No,
lrcExecuting,,No,
lrcFinished,,No,
lrcProtocolVersions,,No,
lrcQueue,,No,
